,accx,accy,accz,angx,angy,angz,magx,magy,magz,latitude,longitude,roll,pitch,yaw,accx_glo,accy_glo,accz_glo,angx_glo
accx,1.0,-0.4979329683987042,0.496547280013766,-0.08399700743621644,-0.02500779175184326,-0.02398204878557134,0.12362463507309886,-0.48939620019494645,0.7262304339693249,0.10851213324907624,0.116712595883126,-0.5455756683974528,-0.896889796215383,0.34317722690792024,-0.45016748494309416,0.017115709128283144,0.06732966183359647,-0.08350199922855284
accy,-0.4979329683987042,1.0,-0.5492410726215562,0.08260715963206856,0.0019025857803948586,0.13632423274625824,-0.039565377015076605,0.35350738481834026,-0.447428180102031,-0.024900316542541306,-0.05148457156595692,0.3907222152804734,0.5603825320127563,-0.1254570308853269,0.2608615115209,0.23090573642608692,-0.8046244510220261,0.08157978359827699
accz,0.496547280013766,-0.5492410726215562,1.0,-0.10693167766698602,-0.14922591684619696,0.022806907248268313,-0.14453697145325603,-0.2058000430344547,0.40064683260897166,-0.20648123310906727,-0.19909286826027478,-0.600567950348133,-0.44851613653993894,0.29570654579860217,-0.485592745471087,-0.4422537531654001,0.15141147202218383,-0.10887084867178
angx,-0.08399700743621644,0.08260715963206856,-0.10693167766698602,1.0,0.14658168601699684,0.018310975115591516,-0.014020840148108052,-0.003465338691845054,-0.07000398591409723,-0.006079791155527883,-0.00691546739393893,0.13742442536237345,0.08531083399091609,0.04770102153718702,0.10953787076151686,0.07074568974808784,0.0351991655919142,0.9993694396591488
angy,-0.02500779175184326,0.0019025857803948586,-0.14922591684619696,0.14658168601699684,1.0,-0.11459133796803371,0.022149755851290677,-0.013724518497556126,0.02140442116148974,0.001299806829563562,-0.00684528845518364,0.11182306283867814,0.017838700313102314,0.01613867394784107,0.023325980216992896,0.09459025869426753,0.06450165248950673,0.14218880742227302
angz,-0.02398204878557134,0.13632423274625824,0.022806907248268313,0.018310975115591516,-0.11459133796803371,1.0,0.013709954454747207,0.06984944144143503,-0.00016026093950806804,0.005543061440724503,0.0017452179709239255,-0.03994349061440131,0.046660493598376325,0.008153122574911601,0.04449362735131199,-0.017457533223769507,-0.18101849082066093,0.014861423439466533
magx,0.12362463507309886,-0.039565377015076605,-0.14453697145325603,-0.014020840148108052,0.022149755851290677,0.013709954454747207,1.0,-0.05309496858375688,0.13837126668874394,0.4818014736204047,0.3340347674355189,0.05752176487041422,-0.13391283332479187,-0.07750458712844034,-0.07026012347787364,0.5601862859958924,0.04996072233906333,-0.01212558150769602
magy,-0.48939620019494645,0.35350738481834026,-0.2058000430344547,-0.003465338691845054,-0.013724518497556126,0.06984944144143503,-0.05309496858375688,1.0,-0.586986194649335,-0.1640685761897743,-0.29278819478684015,0.4347253966067728,0.5744076433797591,0.07131294493884364,-0.03970015825373941,0.0025438808793473,-0.045002748836046894,-0.0043027626386047315
magz,0.7262304339693249,-0.447428180102031,0.40064683260897166,-0.07000398591409723,0.02140442116148974,-0.00016026093950806804,0.13837126668874394,-0.586986194649335,1.0,0.017403403804589528,0.027035980068186364,-0.6276432915164387,-0.8296424337836047,0.46830916453850713,-0.4308857956924937,0.03718314690130145,-0.00944861290521758,-0.07125199753442178
latitude,0.10851213324907624,-0.024900316542541306,-0.20648123310906727,-0.006079791155527883,0.001299806829563562,0.005543061440724503,0.4818014736204047,-0.1640685761897743,0.017403403804589528,1.0,0.9167314621783961,0.10292192969473696,-0.11791699571070598,-0.17017925427823466,0.05676672586330842,0.403874873920638,0.06647751639255628,-0.003878999539240083
longitude,0.116712595883126,-0.05148457156595692,-0.19909286826027478,-0.00691546739393893,-0.00684528845518364,0.0017452179709239255,0.3340347674355189,-0.29278819478684015,0.027035980068186364,0.9167314621783961,1.0,0.06957739283087773,-0.1419503240787424,-0.24582140595005175,0.11387070566539158,0.33676930523177084,0.07822590249812279,-0.004648824279946504
