,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
accx,0.50895862930489,-22.67678,34.339397,0.15194423,3.371719374986027,6.624741542531563,1.9297851187264978,7.85231416813685,11.627441892414945,3.4099035019212707
accy,9.012499840018519,-7.797013,39.022152,8.803194,4.0360753415249295,0.4478308364127124,0.12445206921039077,1.328388800235345,97.51493066335107,9.874964843651398
accz,-1.383661774185152,-31.080374,38.58307,-1.2251252,2.237606175450213,-1.6171626745762742,-0.5007205837519981,8.332454583397126,6.921362308261797,2.6308482107985243
angx,-0.0006733937086776787,-3.6464045,3.6189156,0.0024434591,0.32387197018149766,-480.95485004971977,0.08260498704339742,5.714878163043906,0.10489268962332902,0.32387140908596584
angy,0.0011479802899595796,-3.9270968,5.236333,0.007788526,0.4263177670465986,371.36331588202546,-0.052175460803155355,3.528990550179648,0.18174674091759496,0.426317652599086
angz,-0.0028863364198747693,-3.1884086,4.719541,-0.03573559,0.36174630430819626,-125.33061004853049,0.34078931880573715,2.396047625478027,0.13086770048047286,0.36175641042070406
magx,3.8435649745438356,-74.0625,54.7125,8.681251,19.67522056368512,5.119002981345522,-0.30602753647551306,-1.1446368034007637,401.8842811047265,20.0470516811008
magy,-34.28903290384352,-85.6875,19.125,-36.54375,11.960106485719878,-0.3488026774992318,0.5235948418113594,-0.08987420254081702,1318.780810605661,36.315021831270606
magz,17.689977078280197,-89.925,282.0375,6.9187503,69.04946819688372,3.9033102129715505,2.725133362123674,7.104577743314513,5080.727215545033,71.27922008232858
latitude,35.12826496843844,35.1201657,35.1367555,35.1272621,0.0038068205980276086,0.00010836916088648013,0.5243042445562572,-0.42945251269969154,1233.9950141845889,35.1282651747078
longitude,137.18321908989898,137.1723239,137.2022653,137.181362,0.006094640432243715,4.442701135515541e-05,1.0404910844133843,0.7427310556785347,18819.23563701158,137.18321922528128
roll,93.24408902901914,-179.89601503522158,179.82014838372564,97.87334903026932,31.11368765847616,0.33368000033538914,-4.578911070881414,26.82303400496867,9662.51415931676,98.29808827905434
pitch,-4.919393182671387,-89.84843632118759,80.44926941555156,-0.9782152360011076,21.55679023926993,-4.38200189307981,-2.0083216911482094,4.799467903832453,488.89201566861624,22.110902642556596
yaw,10.736293130609074,-179.99416051423862,179.98945229679313,1.439364440694432,103.44765627762665,9.635323385750183,0.05273385193682025,-1.2044807855067459,10816.602237093857,104.00289533034096
accx_glo,-0.023277732147958734,-38.40513406639188,31.55289469929658,0.0208228672595813,3.6778019828504984,-157.99657627613914,-0.6282110695875892,3.621672677099748,13.526663935883919,3.6778613263531184
accy_glo,0.2581161819252087,-40.538040668055025,30.82284884032961,0.2896140766640187,3.077671135930538,11.923588490171914,-0.5285033520308688,6.172668616281703,9.53860981610043,3.0884639897690938
accz_glo,-9.01072910028692,-38.15333429140526,28.42377507725312,-8.607837480950005,3.4358862223357627,-0.3813105670024368,-0.610144762293417,1.6082196121965175,92.99846111204347,9.64357097303916
angx_glo,-0.0002109533822095039,-3.643901577943907,3.60529064972788,0.0031919306028531,0.32411515674678015,-1536.4302451661667,0.07862041915031158,5.633696728929634,0.10504986120207292,0.32411396329388975
