,accx,accy,accz,angx,angy,angz,magx,magy,magz,latitude,longitude,roll,pitch,yaw,accx_glo,accy_glo,accz_glo,angx_glo
accx,1.0,-0.5156197448530049,0.3545465790360025,0.01382040385998467,-0.06356034124931957,-0.01923464724576689,0.07095929520896212,-0.10785192245167752,0.6523740868006529,-0.07451929025487647,0.037914461919638764,-0.4886023042792298,-0.9080728245884533,0.10329350387302827,-0.22129811203812266,0.04042492396259289,0.08956894815523203,0.01518274509665951
accy,-0.5156197448530049,1.0,-0.4677382107422466,0.06075770735243326,0.04827820350869552,0.2431088419169538,-0.05633323267699669,0.026305977722915163,-0.526287526358779,0.16139390084502833,0.06417906913556909,0.4401871761372983,0.5602986611670245,-0.06471064174448402,0.0938725214971514,-0.0293758874623248,-0.7524198050694301,0.059594781891437264
accz,0.3545465790360025,-0.4677382107422466,1.0,-0.06474732656256586,-0.12609400532609882,-0.04031059768558498,0.025559774763528623,-0.19581458910951297,0.2766201111590829,-0.042164924789757925,-0.00039123413274636985,-0.5025648489294405,-0.3266539336849144,0.06160749824605643,-0.013668374754310868,0.11307928931326426,0.04756107549383991,-0.06075074841680986
angx,0.01382040385998467,0.06075770735243326,-0.06474732656256586,1.0,0.1443436476539923,-0.04804068632857611,0.003932320960817755,-0.0001745807508978721,0.00208966644059837,-0.0006462476118151167,0.0003520591751606872,0.09937149025619815,-0.014985176260578699,0.04485230130203395,-0.003960023707411359,0.044005874669384576,-0.02253746556529151,0.9990915669556237
angy,-0.06356034124931957,0.04827820350869552,-0.12609400532609882,0.1443436476539923,1.0,-0.18065858632857065,-0.003948055942110124,0.0008292913720434151,0.005876089587143416,-0.002236271787674493,-0.0026911927602329085,0.04650785530964854,0.04478376781633995,-0.030076621974492762,-0.041981164371963225,-0.025822307105916303,-0.013362072835970667,0.13334957570952605
angz,-0.01923464724576689,0.2431088419169538,-0.04031059768558498,-0.04804068632857611,-0.18065858632857065,1.0,0.0049523297954464085,0.00702375747358021,0.0017886716562890714,0.0015147926412270231,0.0018708443392286731,0.01344327813437588,0.023900111620584592,0.021610336695855402,-0.03098459747278518,0.003987856210708215,-0.2921181377838677,-0.04463223715506886
magx,0.07095929520896212,-0.05633323267699669,0.025559774763528623,0.003932320960817755,-0.003948055942110124,0.0049523297954464085,1.0,-0.12162514389533595,0.043874037519704714,0.12618685489473852,0.08211008211600582,-0.06442167156819423,-0.08883639709438158,-0.22997986833623946,0.14175004891554877,0.5942448326850753,-0.015198211316928419,0.003290429385451669
magy,-0.10785192245167752,0.026305977722915163,-0.19581458910951297,-0.0001745807508978721,0.0008292913720434151,0.00702375747358021,-0.12162514389533595,1.0,0.15611113033421065,-0.429666748473534,-0.42212210779325077,0.13214098314372563,0.1305373204601493,0.48229594511925356,-0.4738583612192457,-0.12954763775706218,0.10979351390024658,-0.0008625703471979972
magz,0.6523740868006529,-0.526287526358779,0.2766201111590829,0.00208966644059837,0.005876089587143416,0.0017886716562890714,0.043874037519704714,0.15611113033421065,1.0,-0.47767387202686323,-0.32486487964426736,-0.6012892302559845,-0.7636288300558006,0.3526677001784175,-0.4160203772547198,0.01785199809612162,0.04241495742381299,0.002466247451249177
latitude,-0.07451929025487647,0.16139390084502833,-0.042164924789757925,-0.0006462476118151167,-0.002236271787674493,0.0015147926412270231,0.12618685489473852,-0.429666748473534,-0.47767387202686323,1.0,0.8939404352981346,0.15089966190161055,0.12350393803107919,-0.516445668086897,0.4020365096698574,0.10228557358857154,-0.03758230296097696,-0.0015741795390539458
longitude,0.037914461919638764,0.06417906913556909,-0.00039123413274636985,0.0003520591751606872,-0.0026911927602329085,0.0018708443392286731,0.08211008211600582,-0.42212210779325077,-0.32486487964426736,0.8939404352981346,1.0,0.04561917617478038,-0.011124387738691819,-0.4954394713122975,0.35688237846592186,0.07638469611958912,-0.03085320031104289,-0.00031894475090486025
roll,-0.4886023042792298,0.4401871761372983,-0.5025648489294405,0.09937149025619815,0.04650785530964854,0.01344327813437588,-0.06442167156819423,0.13214098314372563,-0.6012892302559845,0.15089966190161055,0.04561917617478038,1.0,0.5838814093071123,0.07585100932664167,0.11936504968949835,-0.03401226567480016,0.041406701416544726,0.09567679372090854
pitch,-0.9080728245884533,0.5602986611670245,-0.3266539336849144,-0.014985176260578699,0.04478376781633995,0.023900111620584592,-0.08883639709438158,0.1305373204601493,-0.7636288300558006,0.12350393803107919,-0.011124387738691819,0.5838814093071123,1.0,-0.07797377308956016,0.17041610339281715,-0.022606741193084687,-0.10509320028047456,-0.01663547683853849
yaw,0.10329350387302827,-0.06471064174448402,0.06160749824605643,0.04485230130203395,-0.030076621974492762,0.021610336695855402,-0.22997986833623946,0.48229594511925356,0.3526677001784175,-0.516445668086897,-0.4954394713122975,0.07585100932664167,-0.07797377308956016,1.0,-0.48883790763831886,-0.12609012218298518,0.04026768835551023,0.044516575905564376
accx_glo,-0.22129811203812266,0.0938725214971514,-0.013668374754310868,-0.003960023707411359,-0.041981164371963225,-0.03098459747278518,0.14175004891554877,-0.4738583612192457,-0.4160203772547198,0.4020365096698574,0.35688237846592186,0.11936504968949835,0.17041610339281715,-0.48883790763831886,1.0,0.1835291615376033,-0.017531735471916072,-0.0011188022936637022
accy_glo,0.04042492396259289,-0.0293758874623248,0.11307928931326426,0.044005874669384576,-0.025822307105916303,0.003987856210708215,0.5942448326850753,-0.12954763775706218,0.01785199809612162,0.10228557358857154,0.07638469611958912,-0.03401226567480016,-0.022606741193084687,-0.12609012218298518,0.1835291615376033,1.0,-0.042417451009481466,0.04635669733097722
accz_glo,0.08956894815523203,-0.7524198050694301,0.04756107549383991,-0.02253746556529151,-0.013362072835970667,-0.2921181377838677,-0.015198211316928419,0.10979351390024658,0.04241495742381299,-0.03758230296097696,-0.03085320031104289,0.041406701416544726,-0.10509320028047456,0.04026768835551023,-0.017531735471916072,-0.042417451009481466,1.0,-0.022839977387346715
angx_glo,0.01518274509665951,0.059594781891437264,-0.06075074841680986,0.9990915669556237,0.13334957570952605,-0.04463223715506886,0.003290429385451669,-0.0008625703471979972,0.002466247451249177,-0.0015741795390539458,-0.00031894475090486025,0.09567679372090854,-0.01663547683853849,0.044516575905564376,-0.0011188022936637022,0.04635669733097722,-0.022839977387346715,1.0
