,accx,accy,accz,angx,angy,angz,magx,magy,magz,latitude,longitude,roll,pitch,yaw,accx_glo,accy_glo,accz_glo,angx_glo
accx,1.0,-0.4251239811637145,0.5997438982846325,0.01535874123062718,-0.19383481914429174,0.013955661997510482,-0.46731735001840363,-0.18059483785640734,0.6760582526477439,-0.40849647937171074,0.10395823711342896,-0.24598071471874416,-0.6933499152590757,0.2121713790728216,-0.5009168120440494,0.05390045119649141,-0.5917868003611649,0.018620903361903765
accy,-0.4251239811637145,1.0,-0.46086131616704756,0.1286637130024157,-0.04658938194941619,-0.03363475519407644,0.5660040244002278,0.2041111275159808,-0.7479180883864981,0.4050495135949263,-0.1638721298463708,0.5691127701172047,0.6987344933722099,0.2667810489849417,-0.012446565337307139,0.6335231614024334,-0.23786832703056604,0.12727207400566573
accz,0.5997438982846325,-0.46086131616704756,1.0,0.043805311379334674,-0.1335373561177532,0.07120777373776428,-0.4575761489181895,-0.14043019689223551,0.4901721751819295,-0.32881927082784357,-0.025728543588359517,-0.31837806364818416,-0.322166420840547,0.1964993742984756,-0.48077774080853913,-0.06290905113311863,-0.14369725936018332,0.0470693493539195
angx,0.01535874123062718,0.1286637130024157,0.043805311379334674,1.0,0.07103529593002582,0.011929245629522928,0.07321718853368478,-0.10021200129969064,-0.003025595024885478,-0.029809116251446173,-0.03977934758904058,0.15214893282195974,0.010731502202365658,0.28924607472087005,-0.023881719777202756,0.2348245394559725,0.05030335615016543,0.9997870431039882
angy,-0.19383481914429174,-0.04658938194941619,-0.1335373561177532,0.07103529593002582,1.0,-0.11175709646151233,0.0014009185366043102,-0.04662333993139313,0.06023456964710256,0.01959786271483315,-0.0045342772480725085,-0.01648050861574116,-0.04213626229883606,-0.12130952214743453,0.1803681356219232,-0.16726516618225462,0.21779020861905332,0.06376372653968472
angz,0.013955661997510482,-0.03363475519407644,0.07120777373776428,0.011929245629522928,-0.11175709646151233,1.0,0.0691888057608271,-0.01616756096156138,-0.06651142818101141,0.037429666181719584,0.009858327821703039,0.08889306292167891,0.09523957424909847,0.09937632279589194,-0.07613788091010029,-0.0802452949435242,-0.020616858121630666,0.0076475658867107684
magx,-0.46731735001840363,0.5660040244002278,-0.4575761489181895,0.07321718853368478,0.0014009185366043102,0.0691888057608271,1.0,-0.15502623417447425,-0.7507830371039964,0.5395046435174938,-0.157462530636788,0.3153821316157962,0.6081907126497046,-0.016575697511858545,0.25933141261154824,0.26887253985340454,-0.05081299493358696,0.07213825119262932
magy,-0.18059483785640734,0.2041111275159808,-0.14043019689223551,-0.10021200129969064,-0.04662333993139313,-0.01616756096156138,-0.15502623417447425,1.0,-0.21271409641258412,0.15535541061286817,0.031077281119766778,0.12311190587849491,0.25544205511290885,-0.03289156358500932,-0.067287750344076,0.10483835039819092,0.03367362354752494,-0.0993070673610088
magz,0.6760582526477439,-0.7479180883864981,0.4901721751819295,-0.003025595024885478,0.06023456964710256,-0.06651142818101141,-0.7507830371039964,-0.21271409641258412,1.0,-0.594201698588068,0.1667728544776693,-0.3870765162247826,-0.9176593534747911,0.06553179771493226,-0.1456422638787718,-0.28744595745740675,-0.07309318320419608,-0.0023956625215491617
latitude,-0.40849647937171074,0.4050495135949263,-0.32881927082784357,-0.029809116251446173,0.01959786271483315,0.037429666181719584,0.5395046435174938,0.15535541061286817,-0.594201698588068,1.0,0.22839982849921459,0.20740265877709185,0.553609791809163,-0.09002436881296125,0.03784662409919635,0.17505864567223411,0.10203555866705684,-0.031200718640699777
longitude,0.10395823711342896,-0.1638721298463708,-0.025728543588359517,-0.03977934758904058,-0.0045342772480725085,0.009858327821703039,-0.157462530636788,0.031077281119766778,0.1667728544776693,0.22839982849921459,1.0,-0.0670097566031707,-0.07482673795682387,-0.011570163964394935,-0.2304584312470118,-0.04253469279085771,0.045318327945186164,-0.03910686021932121
roll,-0.24598071471874416,0.5691127701172047,-0.31837806364818416,0.15214893282195974,-0.01648050861574116,0.08889306292167891,0.3153821316157962,0.12311190587849491,-0.3870765162247826,0.20740265877709185,-0.0670097566031707,1.0,0.3664592714512454,0.5253786192619566,0.08132811840172599,0.24765075356642668,-0.028668206451056374,0.14779394334436113
