,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
accx,1.248253180665802,-8.203793,22.91726,0.55812588,3.609955894025423,2.892006165047318,2.4336102990183752,8.145818868362182,14.5837704930791,3.818870316347375
accy,8.582297494498112,-3.2231321,21.428923,9.663414,3.383392460095861,0.39422922151846473,-1.1756044247352309,2.179186631616183,85.09777513228182,9.224845534331825
accz,-1.4270297651574058,-14.646467,11.152946,-1.3076776,2.3576763459210723,-1.6521563904877719,-0.09374442799049457,5.141480626908189,7.592429703821262,2.755436390813851
angx,-0.0026876608665566014,-1.7334815,3.2901177,-0.0006108648,0.2757388675612072,-102.59436783573089,1.034903882507815,21.003662749281602,0.07600328249020834,0.2756869283992412
angy,-0.0044838053651415095,-3.3322673,2.4475825,0.0059559317,0.4289613775886624,-95.66904507576106,0.023506682925367714,5.7478868067543605,0.1839411718113047,0.42888363434771526
angz,-0.0005250701056698111,-1.470046,2.6212208,-0.0043524115,0.2899730225563477,-552.255821508712,0.9762050339639031,7.204965589964061,0.08404496707803734,0.2899051001242257
magx,4.1126180989037735,-32.60625,36.787502,7.190625150000001,18.283259033404477,4.445649606579788,-0.2667490829331937,-1.1256614070234563,351.03351041524144,18.73588830067156
magy,-33.00724439148113,-60.018753,7.14375,-37.125,12.78106287738084,-0.3872199304428914,0.9639775021423358,0.18117083941368683,1252.7566960811878,35.394303158576065
magz,26.428462071179244,-44.925003,276.67502,11.071875,84.45125098580978,3.195465962353728,2.193866464169823,3.5768349445877385,7827.113243066437,88.47097401445536
latitude,35.129371375754715,35.1222301,35.1355525,35.1280843,0.0038622862290263746,0.00010994464397652199,0.10942331249509958,-1.1914363535619408,1234.0727481659133,35.12937158797341
longitude,137.18458580193396,137.1755623,137.1928707,137.1839827,0.004638236241162258,3.381018511699928e-05,0.2586299033391191,-0.8230945408596444,18819.61060315127,137.1845858803068
roll,91.51084329311935,-177.28291682843258,176.75360139183496,97.78988092967325,37.603397881477484,0.41091740091422435,-3.5056444404359732,15.423685873862294,9787.582983991952,98.9322140861709
pitch,-9.086622423384286,-89.72262189398909,46.31450026302755,-3.4990341589259657,24.031674282171156,-2.6447312502306692,-1.9790123508634037,3.282960628167637,659.8156601295146,25.68687719691739
yaw,12.247749567380925,-179.83298503158048,179.94105190682532,-9.382372472241247,99.99014769436772,8.163960827601224,0.12657572784706034,-1.251885186206967,10143.320953691687,100.71405539293752
accx_glo,-0.12664533083316062,-23.640664523714157,12.025214228786666,0.27226506123338595,3.8901327702144064,-30.716748455094404,-0.724978723862048,2.443188653903884,15.142033739449035,3.8912766207825724
accy_glo,0.24243850050885363,-17.871910443860486,11.927147651356549,0.13367799674961875,2.94434854830182,12.14472347470362,-0.3766612691536024,5.141068255918926,8.723875560617016,2.9536207543652275
accz_glo,-8.735017312900764,-19.37798586680547,1.359835839694835,-9.410698745035074,2.6666257268581135,-0.3052799589669695,0.3017819353937818,1.7830358702563647,83.40806602911613,9.132801652785203
angx_glo,-0.002242213983831102,-1.6029606074189588,3.288483391846452,1.797982679632084e-05,0.2771798753875319,-123.6188327190501,1.0702164533524068,20.62049314030329,0.0767974708984348,0.27712356611886113
