,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
accx,0.8492608009894738,-9.693324,20.292332,0.5377869,3.054483643017648,3.5966379697012614,2.0345902976890486,8.920409527857602,10.04202079269662,3.1689147657670786
accy,9.080875053730018,-2.9300113,28.99144,9.32782075,4.2652086803935445,0.46969137392123755,0.30838402440670226,1.1920791892350504,100.6365658296502,10.031777800053698
accz,-1.805894268281969,-15.69572,11.867204,-1.5972091,2.259640377707573,-1.251258402773089,-0.0033650178095216963,4.491612566284057,8.362252161313652,2.8917558958725498
angx,-0.004157720952631577,-2.7467535,1.9419391,0.012064579,0.36324633811978374,-87.36669494134077,-0.2835083000728963,7.0206874057659565,0.13183658460781633,0.36309307981262373
angy,0.02635813177436647,-1.7702861,2.7928739,0.0004581486,0.522751726724437,19.832654726797365,0.7001897260002371,3.564582814022275,0.2736977744909614,0.5231613274038529
angz,-0.006766101861306045,-2.1426082,2.0709844,-0.033139413,0.3872119933626915,-57.22822406459439,0.39043344519635853,1.954057421395457,0.14983277428547634,0.3870823869481487
magx,15.675548853886939,-31.931252,39.956253,23.503126,16.616042786073212,1.059997512109636,-1.357475898827127,0.786617691899091,521.5466133670202,22.837395065265657
magy,-38.090790549707606,-65.53125,-26.306252,-37.096875,6.676001171302618,-0.1752654926547295,-1.5463133970810625,3.4203968901490516,1495.433876777927,38.67084013540341
magz,14.352887977534111,-41.925003,272.11877,13.8,63.781889106976465,4.443836613705284,3.032128044797198,8.953668129831833,4270.169732970117,65.34653573809493
latitude,35.127731284015596,35.1259867,35.131608,35.1278316,0.000923642385773893,2.6293824053310954e-05,0.6725662781808678,4.406225137913176,1233.9575060142918,35.127731296146806
longitude,137.18179573674462,137.1744009,137.1904375,137.182844,0.0032209094025456853,2.3479131361763867e-05,-1.1715012464807346,1.590850763202254,18818.845091922074,137.18179577451986
roll,97.0772474725118,-122.91803127917493,163.624591764289,100.56711475612016,25.379419647187103,0.26143530341003424,-4.37904751516622,25.492057797162403,10067.479126126555,100.33682836389914
pitch,-7.235303209088959,-86.84963190501617,40.210484486022395,-3.3854646447825973,19.558419682058663,-2.703192819547556,-2.158090272347902,5.597684546267178,434.50855499434203,20.844868792927002
yaw,1.0163754988277316,-179.9434099550502,176.61191937176403,5.563552467746243,78.76862232112852,77.49952887685582,0.3830857585821257,-0.20193542442849033,6199.481614600817,78.7367869207324
accx_glo,0.7357644168451402,-16.33018409925578,25.715688828131473,-0.0663962231802027,3.49101481894584,4.74474538183682,1.2995221605394078,5.38793906216269,12.716655395762078,3.5660419789680096
accy_glo,2.2367249938967024,-15.318656099484222,16.218312634322043,1.6526606359081124,3.3142945268481423,1.4817621906545408,0.2941249074622783,2.197664174112159,15.976780721677898,3.997096536447162
accz_glo,-8.777105070711611,-28.767449766849065,0.4180733342477659,-8.925238974946737,3.6500430741528698,-0.41585956243508193,-0.7410705057100434,2.033365580028482,90.34740266622047,9.505125073675805
angx_glo,-0.004245864959819824,-2.7564371119361675,1.9214772415998245,0.00993698866798395,0.36241290948733396,-85.35667359112458,-0.31519358127784713,7.059812945042195,0.1312331295984494,0.3622611345403332
