,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
accx,8.133922023134616,-9.623933,23.554947,8.0225365,5.275302729113189,0.6485558521595238,-0.2758279146993734,0.5928951454049707,93.88247244343958,9.68929679819127
accy,1.7698650716499997,-4.5726843,23.754747,0.95413803,4.104864085236637,2.319309054113248,2.1718294526492934,6.568719326561878,19.91752418719587,4.462905352704208
accz,1.0860837880153846,-11.076376,11.324033,0.6873383,3.1960840546654428,2.942760116607292,-0.2502097297628468,2.1855377038199375,11.355242997213134,3.3697541449211297
angx,-0.059285015127692325,-2.5692973,2.5914412,-0.0578794385,0.7936833179268493,-13.387587339184398,-0.12616948350846088,0.7304195467049293,0.63102510213885,0.7943708844984502
angy,-0.012443433997307692,-1.5923718,1.7366886,0.026267185,0.3921570955425921,-31.515182676055556,-0.5091360350397731,3.230614865073272,0.1533505374510301,0.3915999712091794
angz,-0.016781160795769228,-2.277762,2.2690573,-0.042302385,0.4923477687212333,-29.339315361626312,-0.2390176480587744,5.06601510170203,0.24175560070179675,0.49168648618992644
magx,15.338726476923078,2.6625001,40.425003,12.543751,8.257924408751089,0.5383709280672703,0.9741275250801614,0.25627783844167906,303.2075634916594,17.41285627034403
magy,-34.63651535215385,-61.256252,5.0062504,-36.478126,14.124541701906525,-0.4077933810113551,0.36802637922970466,0.2761310234451395,1398.4235560354668,37.39550181553213
magz,222.61883102307692,12.1125,277.3875,262.59375,87.3784315923019,0.3925024275383251,-1.833148362453296,1.4995906518099833,57164.768886275204,239.09154917369037
latitude,35.126400092307684,35.122658,35.1307389,35.1264055,0.002113830469731092,6.017782819122415e-05,-0.4424118807333069,-0.11625923078826395,1233.8639878959675,35.126400155665934
longitude,137.18170236153847,137.1783885,137.1866117,137.1818613,0.0014287330275956464,1.0414895011510072e-05,0.6457986656291851,4.681810773511612,18818.81946484315,137.18170236894989
roll,27.41930623767113,-178.89756307159993,174.34186877553708,33.34518498768788,78.82848861628814,2.874926445366674,-0.4124188531686185,-0.467597999757694,6941.8492389391195,83.31776064524969
pitch,-61.26255390919049,-87.91197842422925,56.08482635892974,-72.37223230080039,29.383705990887734,-0.4796356683797939,1.9349555286638875,2.820180727455609,4613.181911628636,67.92040865328062
yaw,42.2106098250855,-179.5454100640946,179.73055069296402,154.25650973518484,148.3065352296376,3.513489519440678,-0.5675173138875858,-1.4743192680806072,23691.96847981065,153.92195580816485
accx_glo,-2.7877540850683684,-15.57648716909688,1.6382329952858925,-1.455642830250733,3.439713754058721,-1.233865559549297,-1.491229728871893,1.8286928904028281,19.557697276715114,4.4224085379705835
accy_glo,1.263198817483703,-8.291945460918155,16.892778052996675,0.3916157420548354,3.901881105193831,3.088889136997764,1.0682545123447336,2.027322141959319,16.76179096479521,4.094116628137895
accz_glo,-8.637534291170256,-19.842524733356356,1.9431433983959592,-7.985879017040437,3.7793769360201783,-0.43755275621697465,-0.4357394532446139,0.21251643058233638,88.83575138633825,9.425271952911398
angx_glo,-0.05621824147247866,-2.5334413141414385,2.607649170515594,-0.04613908665940475,0.7913010419237807,-14.075521062165523,-0.13014470923241403,0.7285250342733018,0.6269095321664201,0.7917761881784651
