,accx,accy,accz,angx,angy,angz,magx,magy,magz,latitude,longitude,roll,pitch,yaw,accx_glo,accy_glo,accz_glo,angx_glo
accx,1.0,-0.656933070065133,0.5126981833808185,-0.029557962864070232,-0.0415845462618384,0.03258320507518039,0.10662981224476062,-0.03780156443903606,0.7303179950086821,-0.1644726127527673,-0.03933904374608928,-0.5844805590083754,-0.8994133869769407,0.058745444974008694,-0.23181723082727435,0.10971591819116142,-0.18320547005336738,-0.0268798510519138
accy,-0.656933070065133,1.0,-0.419283262259652,0.07741886439914636,0.01406235917317556,0.06417596455847682,-0.08840663401409439,-0.18005918912340355,-0.7987226405655764,0.3287285633992381,0.19191237962146127,0.60817007436063,0.7580994257974761,-0.0921972121148281,0.27667258153852525,-0.10404415810382737,-0.3972671414361167,0.07541910210632247
accz,0.5126981833808185,-0.419283262259652,1.0,-0.08102522406206428,-0.02091734991655603,-0.03351098901937416,0.12733101989317722,-0.22315527042980926,0.39400553954140266,-0.2329546535724192,-0.1896139762652655,-0.5565694596385289,-0.447281336994457,0.07849685156434862,-0.031996000499396736,0.10200375229200263,-0.40805768100581635,-0.07825484597285068
angx,-0.029557962864070232,0.07741886439914636,-0.08102522406206428,1.0,0.003961775576139556,-0.08828498067443578,-0.02847119940461787,0.014053700813637335,-0.037430247839688374,0.028342639644975784,0.014349567991418247,0.14104697630596372,0.03832850330902293,0.0790956655560972,0.012869034553817668,0.03845013796217987,0.021298165944692266,0.9989878784445733
angy,-0.0415845462618384,0.01406235917317556,-0.02091734991655603,0.003961775576139556,1.0,-0.37448660945909956,0.008380624510000252,-0.025794365767506322,-0.014028691732340061,0.002778601836127348,-0.007656558388749174,-0.00639029672419948,0.010239889568522282,-0.03245572850903149,0.04291557583767435,0.04983487411208845,-0.0233635187046332,-0.0026980399167168367
angz,0.03258320507518039,0.06417596455847682,-0.03351098901937416,-0.08828498067443578,-0.37448660945909956,1.0,-0.035546890161078815,0.03707358315273557,0.0022620657844460196,0.013859911315755698,0.021084510060189743,0.04176476537866873,-0.001523357991133148,0.04690400868283215,-0.06509728829543078,-0.06387289606737144,-0.04958090198765561,-0.08078102611067715
magx,0.10662981224476062,-0.08840663401409439,0.12733101989317722,-0.02847119940461787,0.008380624510000252,-0.035546890161078815,1.0,-0.23425369642229377,0.05573954433182821,0.22904865013410455,0.17103148796297274,-0.10867879988389476,-0.12091201527470544,-0.30434916462570794,0.11279547889502639,0.6383734352407411,-0.015200565613414613,-0.027177898010106016
magy,-0.03780156443903606,-0.18005918912340355,-0.22315527042980926,0.014053700813637335,-0.025794365767506322,0.03707358315273557,-0.23425369642229377,1.0,0.3081287681867981,-0.4543046580630991,-0.4247379619344491,0.023706760834386664,0.017618035810667617,0.5129868267241794,-0.6071014404358688,-0.0963734547452911,0.3261674506870633,0.013931710160290423
magz,0.7303179950086821,-0.7987226405655764,0.39400553954140266,-0.037430247839688374,-0.014028691732340061,0.0022620657844460196,0.05573954433182821,0.3081287681867981,1.0,-0.5546953657690397,-0.40167601033281114,-0.6554758927344628,-0.8374277196017956,0.34769575199068603,-0.4662761992729756,0.06543483380575116,0.050076317709875764,-0.03599929840283145
latitude,-0.1644726127527673,0.3287285633992381,-0.2329546535724192,0.028342639644975784,0.002778601836127348,0.013859911315755698,0.22904865013410455,-0.4543046580630991,-0.5546953657690397,1.0,0.9300365177219309,0.2993900548672459,0.23378148775457233,-0.5990633636514976,0.37611241644570453,0.23131953326528756,0.021717484145908357,0.028584032475563882
