,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_x,-0.36253010783399126,-22.177877,10.939985,-0.19381863,1.894295743116432,-5.225209443801182,-1.013865998580653,4.475573669749654,3.7196937485478396,1.9286507585739414
acc_y,9.502750806315523,0.41994038,38.688354,9.042477,2.6549428452347517,0.2793867690890387,1.2053932939242462,3.1920394532180465,97.35081624741765,9.866651724238453
acc_z,-2.1107755844803973,-24.66043,11.26182,-2.056631,2.2032029928986576,-1.0437883634327771,-0.4627526545613055,1.9446192463886325,9.30935431225228,3.0511234508377862
gyro_x,-0.0007772677300606582,-2.3617558,2.7632468,-0.0097738365,0.3259847588487763,-419.3982925591628,0.24490346018429898,2.1887689891927575,0.1062639813543962,0.3259815659732866
gyro_y,-0.010709949884041853,-6.575501,3.6819875,-0.0081703165,0.6396353447092139,-59.723467582447775,-0.08355074175955339,1.9583354355517981,0.4092377366986978,0.6397169191905884
gyro_z,0.0028855393498210587,-2.3409865,2.0903792,-0.030695954,0.375572960278022,130.15693592995447,0.3318810137297595,0.46393125468343666,0.14105980977225438,0.37557929891336445
mag_x,3.1930541151121674,-102.262505,125.43751,3.1312501,24.28390185121061,7.60522715110876,-0.11820185269594752,0.7655314952006309,599.8885792911876,24.49262295653913
mag_y,-39.86538241281454,-129.91876,116.55,-39.787502,17.075066395249717,-0.4283181387408695,-1.200860240088695,4.064159673407681,1880.7992384222553,43.368182327857085
mag_z,-10.653903803719356,-122.4,73.256256,-17.8125,25.393739046292282,-2.383514955093469,0.8127886051321986,0.12415393150060261,758.331351128511,27.537816745858976
latitude,35.12609886689329,35.1260062,35.1262189,35.1260975,3.7795031699481974e-05,1.0759814758451354e-06,0.17927511048436673,-0.5932279591105787,1233.8428216081907,35.12609886691362
longitude,137.17631219043622,137.1761303,137.1764581,137.1763274,8.609598793320529e-05,6.27630139332524e-07,-0.3245064635586689,-1.0808457806256533,18817.340626175435,137.17631219046325
roll,101.9101407062746,11.076224723222747,160.8473677201505,102.41895423926539,11.970390423219287,0.11746024821730298,-0.29897328288212666,0.6653045985214221,10528.963404106998,102.61073727494116
pitch,1.166515784417754,-52.31758736120395,53.98017719987504,1.1836622898235136,10.083467733976317,8.644090263218601,0.03630398387348383,0.5199362614759777,103.03451082717436,10.150591649119491
yaw,-42.87252228226552,-179.98372151415316,179.9953680574328,-65.2674741606468,84.51154518647881,-1.9712286725298998,0.9894350165261921,0.13122096207277156,8980.073923045253,94.76325196533334
global_acc_x,2.0988155103236825,-18.23681568063172,23.532639457894803,1.9588925591215531,3.9726469216815157,1.8928042517986003,-0.01963392732312076,0.9543316851524302,20.186551234828336,4.492944606249707
global_acc_y,0.19472096463738744,-21.54876865751213,34.99803022186547,0.1099433938581624,3.2255572025872445,16.565022716449302,-0.03590184166197162,2.5251439881840714,10.441872562649467,3.2313886430835685
global_acc_z,-8.462120761734045,-44.50861200332312,9.011279726809692,-8.256391721536385,2.872248750230939,-0.3394242213156932,-0.8314349827438268,3.378772518027054,79.85709216174371,8.93627954809739
global_gyro_x,0.022810172903649284,-3.8546416180601097,2.8924760588381666,0.00742657755359775,0.3538086892808342,15.511004268811577,0.39938308553613494,3.5848488309369424,0.1256977287561109,0.3545387549424053
global_gyro_y,-0.04097249619976704,-3.944336746332256,4.462019505486134,0.012498843669536401,0.3884918457453667,-9.481771475460546,-0.6274633699785661,2.2769631047607737,0.15260084511991556,0.390641581401565
global_gyro_z,-0.014141011301280251,-4.9457728333360125,4.341682975352015,-0.00699884901667765,0.645045129365901,-45.61520499651267,-0.1152003230387076,1.735873560165155,0.4162726709382577,0.6451919644092429
distance_to_location_5,8.660280958708455,0.4552168778904336,14.988729320947996,8.758690536088134,3.456947840726642,0.3991727124338229,-0.15508855801311966,-0.7807148334817313,86.95065261793671,9.324733380528192
