,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.03202533046905695,-0.09500716648919819,0.05235891712113374,0.0016671866818658134,0.061516368561000755,-0.2960410522565626,-0.21806951220817294,0.057346557192673925,
acc_attr_y,-0.03202533046905695,1.0,-0.11349653396263733,-0.04724249992619285,0.029530028751592722,-0.05599746730099554,-0.09124909908873388,-0.10535247168654524,0.04955738065896624,
acc_attr_z,-0.09500716648919819,-0.11349653396263733,1.0,-0.09590200985863934,-0.19845161121923138,-0.016062826583849523,0.021450832059541458,-0.11593251482122235,-0.13087475501070736,
gyro_attr_x,0.05235891712113374,-0.04724249992619285,-0.09590200985863934,1.0,0.2515646042531481,0.22341168365593872,0.013012627195994799,-0.004134258118062521,0.00015082437893767885,
gyro_attr_y,0.0016671866818658134,0.029530028751592722,-0.19845161121923138,0.2515646042531481,1.0,0.10107972083366865,-0.028280925286859587,-0.010341667834223038,0.018941274596067967,
gyro_attr_z,0.061516368561000755,-0.05599746730099554,-0.016062826583849523,0.22341168365593872,0.10107972083366865,1.0,-0.022674685400888125,-0.03208016361779651,0.013180689066976633,
mag_attr_x,-0.2960410522565626,-0.09124909908873388,0.021450832059541458,0.013012627195994799,-0.028280925286859587,-0.022674685400888125,1.0,0.49142255632319026,-0.1035718335289641,
mag_attr_y,-0.21806951220817294,-0.10535247168654524,-0.11593251482122235,-0.004134258118062521,-0.010341667834223038,-0.03208016361779651,0.49142255632319026,1.0,-0.2744841499561116,
mag_attr_z,0.057346557192673925,0.04955738065896624,-0.13087475501070736,0.00015082437893767885,0.018941274596067967,0.013180689066976633,-0.1035718335289641,-0.2744841499561116,1.0,
label,,,,,,,,,,
