,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,0.15355586300663937,0.21498770660940303,0.05367336193737353,0.18595071759343185,-0.039786557453032514,-0.8993066643865473,-0.3649362414539471,-0.11352091776687691,
acc_attr_y,0.15355586300663937,1.0,-0.7043488661296704,0.13765656179442112,0.15310332592830056,0.015701577601477692,-0.0034404246653864457,-0.5124485321750276,0.45917714511231233,
acc_attr_z,0.21498770660940303,-0.7043488661296704,1.0,-0.06111911900801599,-0.03621753330942695,-0.028622778419421294,-0.34640884488566154,0.39001097030894166,-0.8637675952663681,
gyro_attr_x,0.05367336193737353,0.13765656179442112,-0.06111911900801599,1.0,0.13668863620587604,0.18956837819648562,-0.04385715221240515,-0.1804171751312787,-0.007333242420743506,
gyro_attr_y,0.18595071759343185,0.15310332592830056,-0.03621753330942695,0.13668863620587604,1.0,-0.11208194726728997,-0.1581561785579818,-0.19756851902149508,-0.03729554409024358,
gyro_attr_z,-0.039786557453032514,0.015701577601477692,-0.028622778419421294,0.18956837819648562,-0.11208194726728997,1.0,0.046095586596931325,-0.07272877467482727,0.009483997121402445,
mag_attr_x,-0.8993066643865473,-0.0034404246653864457,-0.34640884488566154,-0.04385715221240515,-0.1581561785579818,0.046095586596931325,1.0,0.23674824178926074,0.24451741680979436,
mag_attr_y,-0.3649362414539471,-0.5124485321750276,0.39001097030894166,-0.1804171751312787,-0.19756851902149508,-0.07272877467482727,0.23674824178926074,1.0,-0.40153177771189313,
mag_attr_z,-0.11352091776687691,0.45917714511231233,-0.8637675952663681,-0.007333242420743506,-0.03729554409024358,0.009483997121402445,0.24451741680979436,-0.40153177771189313,1.0,
label,,,,,,,,,,
