,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,0.46875950808490746,-0.39856876744191233,0.010090821800710538,0.0021750198139443657,0.19201708317569732,-0.5769171744007419,-0.6517492965207792,0.12373040086767703,
acc_attr_y,0.46875950808490746,1.0,-0.23361077168378958,-0.12348753893826454,0.0240788509707531,-0.008378632673388516,-0.42914999577527374,-0.5501315723542993,0.03518888903496001,
acc_attr_z,-0.39856876744191233,-0.23361077168378958,1.0,0.044079563090669044,-0.018863944174480844,-0.027179317799716676,0.17480472036395162,0.11163096863654419,-0.24935898794086997,
gyro_attr_x,0.010090821800710538,-0.12348753893826454,0.044079563090669044,1.0,-0.030700121780178287,0.15856556342072872,-0.04143842383084136,-0.04142025193459584,-0.039237293895979915,
gyro_attr_y,0.0021750198139443657,0.0240788509707531,-0.018863944174480844,-0.030700121780178287,1.0,-0.2175002170423231,-0.0037393703007337206,0.01567788042279294,-0.003892931444903821,
gyro_attr_z,0.19201708317569732,-0.008378632673388516,-0.027179317799716676,0.15856556342072872,-0.2175002170423231,1.0,-0.07441058806637271,-0.11505145216558617,0.002669938067094209,
mag_attr_x,-0.5769171744007419,-0.42914999577527374,0.17480472036395162,-0.04143842383084136,-0.0037393703007337206,-0.07441058806637271,1.0,0.6388824325357161,0.19499881885519063,
mag_attr_y,-0.6517492965207792,-0.5501315723542993,0.11163096863654419,-0.04142025193459584,0.01567788042279294,-0.11505145216558617,0.6388824325357161,1.0,0.0077305612272809835,
mag_attr_z,0.12373040086767703,0.03518888903496001,-0.24935898794086997,-0.039237293895979915,-0.003892931444903821,0.002669938067094209,0.19499881885519063,0.0077305612272809835,1.0,
label,,,,,,,,,,
