,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.0370798152265341,0.00775466993244114,0.005046122602504299,-0.0515660848557669,0.17642636313527282,-0.12033010092983701,-0.1146247555142117,0.010609840800410102,
acc_attr_y,-0.0370798152265341,1.0,0.10431063519000826,0.1641274685854403,0.039325242479745094,6.160284129089339e-05,0.024387524162836266,0.030204814977945353,-0.03816909991519105,
acc_attr_z,0.00775466993244114,0.10431063519000826,1.0,0.22196428851530617,0.09726372984890207,0.11739505767020376,-0.040489497581104206,-0.07114839334634666,-0.027688884232212753,
gyro_attr_x,0.005046122602504299,0.1641274685854403,0.22196428851530617,1.0,0.045502907707813046,0.20622182852322207,-0.028980563272039985,-0.08450978558895118,-0.027848438730988627,
gyro_attr_y,-0.0515660848557669,0.039325242479745094,0.09726372984890207,0.045502907707813046,1.0,0.0021518740237353178,0.02182103560790324,0.008699943729416551,-0.04939923419198201,
gyro_attr_z,0.17642636313527282,6.160284129089339e-05,0.11739505767020376,0.20622182852322207,0.0021518740237353178,1.0,-0.010167049880684224,-0.0016267840264490559,0.0052975077008389744,
mag_attr_x,-0.12033010092983701,0.024387524162836266,-0.040489497581104206,-0.028980563272039985,0.02182103560790324,-0.010167049880684224,1.0,0.16128698723520224,0.05749391518221088,
mag_attr_y,-0.1146247555142117,0.030204814977945353,-0.07114839334634666,-0.08450978558895118,0.008699943729416551,-0.0016267840264490559,0.16128698723520224,1.0,-0.038627569999131396,
mag_attr_z,0.010609840800410102,-0.03816909991519105,-0.027688884232212753,-0.027848438730988627,-0.04939923419198201,0.0052975077008389744,0.05749391518221088,-0.038627569999131396,1.0,
label,,,,,,,,,,
