,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_attr_x,0.005405802508648268,-7.404369128175048,20.092664586475685,0.005435250447948367,0.17158822152891504,31.74148912292044,18.4309435582043,1338.1336295796912,0.02947167939226645,0.1716731761000141
acc_attr_y,-0.0029204271196646495,-12.917399985829842,12.684542820978784,-0.005387179213941397,0.1610553524627569,-55.1478759316722,5.278686540816377,1207.4829671545406,0.025947301643615882,0.16108166141313504
acc_attr_z,9.502927999207827,-7.3982402092029185,20.531131965329802,9.486506202626316,0.241465101701399,0.02540954763853075,-6.208568426447583,793.9285706185603,90.36394583251821,9.505995257337245
gyro_attr_x,0.011861876865166213,-4.7580166,3.9550602,0.01863139,0.11829197530973738,9.972450115134443,-2.5006039641338162,139.20621881704378,0.014133666518195594,0.11888509796520165
gyro_attr_y,0.014689628401273672,-3.2815018,5.223017,0.03176499,0.10789832272443121,7.34520436984477,2.1976632668092084,181.70597807590417,0.011857809078893066,0.10889356766537253
gyro_attr_z,-0.013045817889397767,-2.7404609,2.8515322,-0.0021380284,0.08137711362633127,-6.23779316224135,-0.4361996767267611,193.68042720939127,0.006792414249304215,0.08241610430798228
mag_attr_x,13.295118650220722,-46.243,48.223,10.899,14.779790738989519,1.1116704655166163,-0.011497171727245752,-0.7172215277124239,395.2019410723204,19.879686644218523
mag_attr_y,3.021926399814133,-60.101,28.735,9.783,18.843636017403718,6.235636982609079,-0.7119847366399631,-0.5848025564285582,364.2139209341622,19.084389456677997
mag_attr_z,-33.47335705839888,-61.952,48.039,-38.018,11.084707220723939,-0.3311501502937139,2.3136176185436863,7.657482431953515,1243.3361120435395,35.26097151304172
label,3.0,3.0,3.0,3.0,0.0,0.0,,,9.0,3.0
