,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.05670408938278779,-0.12099722359596936,-0.05904595013341319,-0.03741336734924006,0.11413448865687137,-0.0177667245093229,-0.015214521209107608,0.03660238192439743,
acc_attr_y,-0.05670408938278779,1.0,0.007822813062176772,0.10006674932402775,-0.010469311132640293,0.09141004859382763,-0.002326906226375366,-0.0003789725100336763,0.013315664406790955,
acc_attr_z,-0.12099722359596936,0.007822813062176772,1.0,0.029152005070807504,0.014095240044623626,-0.00961257279438358,-0.11695868878475042,-0.13027702222269338,0.16776571206182067,
gyro_attr_x,-0.05904595013341319,0.10006674932402775,0.029152005070807504,1.0,0.13668863620587604,0.18956837819648562,-0.04385715221240515,-0.1804171751312787,-0.007333242420743506,
gyro_attr_y,-0.03741336734924006,-0.010469311132640293,0.014095240044623626,0.13668863620587604,1.0,-0.11208194726728997,-0.1581561785579818,-0.19756851902149508,-0.03729554409024358,
gyro_attr_z,0.11413448865687137,0.09141004859382763,-0.00961257279438358,0.18956837819648562,-0.11208194726728997,1.0,0.046095586596931325,-0.07272877467482727,0.009483997121402445,
mag_attr_x,-0.0177667245093229,-0.002326906226375366,-0.11695868878475042,-0.04385715221240515,-0.1581561785579818,0.046095586596931325,1.0,0.23674824178926074,0.24451741680979436,
mag_attr_y,-0.015214521209107608,-0.0003789725100336763,-0.13027702222269338,-0.1804171751312787,-0.19756851902149508,-0.07272877467482727,0.23674824178926074,1.0,-0.40153177771189313,
mag_attr_z,0.03660238192439743,0.013315664406790955,0.16776571206182067,-0.007333242420743506,-0.03729554409024358,0.009483997121402445,0.24451741680979436,-0.40153177771189313,1.0,
label,,,,,,,,,,
