,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.08538498857804074,-0.47062467266309005,-0.061084722314632384,0.08994602843478323,-0.057335647491875745,-0.08990777060173957,-0.014751942217992427,0.09811403985700504,
acc_attr_y,-0.08538498857804074,1.0,0.12536551022447914,-0.08143110824325903,-0.017189629917362087,-0.03008531796080263,0.020579122203140243,-0.013158994216213724,-0.02064819399652783,
acc_attr_z,-0.47062467266309005,0.12536551022447914,1.0,0.0301552887014184,0.022248792440709753,0.07772474009781723,-0.09903876940174429,-0.19245603971295558,-0.07592733638021938,
gyro_attr_x,-0.061084722314632384,-0.08143110824325903,0.0301552887014184,1.0,0.24209541984242017,0.09523431519968702,0.16884191764460368,0.16882148606493694,-0.23592828641905972,
gyro_attr_y,0.08994602843478323,-0.017189629917362087,0.022248792440709753,0.24209541984242017,1.0,-0.028276783368973078,-0.1617110473989821,-0.09552444333766548,0.020802154900225096,
gyro_attr_z,-0.057335647491875745,-0.03008531796080263,0.07772474009781723,0.09523431519968702,-0.028276783368973078,1.0,-0.09135955244829862,-0.3208599779248274,0.08676644973883399,
mag_attr_x,-0.08990777060173957,0.020579122203140243,-0.09903876940174429,0.16884191764460368,-0.1617110473989821,-0.09135955244829862,1.0,0.6643063376436505,-0.25963120875667384,
mag_attr_y,-0.014751942217992427,-0.013158994216213724,-0.19245603971295558,0.16882148606493694,-0.09552444333766548,-0.3208599779248274,0.6643063376436505,1.0,0.00801539245057808,
mag_attr_z,0.09811403985700504,-0.02064819399652783,-0.07592733638021938,-0.23592828641905972,0.020802154900225096,0.08676644973883399,-0.25963120875667384,0.00801539245057808,1.0,
label,,,,,,,,,,
