,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.06437038429975472,0.03033743761185879,0.06788683109636966,0.29577718544066545,0.08075511859170319,-0.07140318582674605,0.02210214148629174,0.08525254094561377,
acc_attr_y,-0.06437038429975472,1.0,-0.1131607939526167,-0.13846450441606006,0.04974723258418905,-0.11891969832595546,0.01329062085845092,0.01845469441777745,-0.02706449566666523,
acc_attr_z,0.03033743761185879,-0.1131607939526167,1.0,-0.0011727239998812454,0.02086655967308855,0.06253619712173734,-0.1170130431569302,0.016910558058177514,0.011961777652195643,
gyro_attr_x,0.06788683109636966,-0.13846450441606006,-0.0011727239998812454,1.0,0.0007050508453235013,0.1392947471299869,-0.1090618490089018,-0.1020878627797613,0.12574017164872045,
gyro_attr_y,0.29577718544066545,0.04974723258418905,0.02086655967308855,0.0007050508453235013,1.0,0.16615857563005104,-0.2161285233791537,0.07461155321174173,0.2590486112064044,
gyro_attr_z,0.08075511859170319,-0.11891969832595546,0.06253619712173734,0.1392947471299869,0.16615857563005104,1.0,-0.14738242189061257,-0.013102527169651027,-0.046695121442545715,
mag_attr_x,-0.07140318582674605,0.01329062085845092,-0.1170130431569302,-0.1090618490089018,-0.2161285233791537,-0.14738242189061257,1.0,0.22275268233107803,-0.14138259010233842,
mag_attr_y,0.02210214148629174,0.01845469441777745,0.016910558058177514,-0.1020878627797613,0.07461155321174173,-0.013102527169651027,0.22275268233107803,1.0,-0.08113597860297372,
mag_attr_z,0.08525254094561377,-0.02706449566666523,0.011961777652195643,0.12574017164872045,0.2590486112064044,-0.046695121442545715,-0.14138259010233842,-0.08113597860297372,1.0,
label,,,,,,,,,,
