,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,-0.005534036484997884,-0.016833050635694898,-0.02863490844979902,0.06883309873083278,0.04539534021799573,-0.0815826057684653,-0.06103795533188467,0.03323353491634725,
acc_attr_y,-0.005534036484997884,1.0,0.070015829556928,-0.026114153598607408,-0.012247747795612109,0.005735332478450469,0.039356514858487124,-0.011470831782556314,0.017277258217403984,
acc_attr_z,-0.016833050635694898,0.070015829556928,1.0,-0.1880710178069244,0.03754298169613127,-0.1248992055449831,-0.00560240609826087,-0.014620869309066878,0.01169186424093168,
gyro_attr_x,-0.02863490844979902,-0.026114153598607408,-0.1880710178069244,1.0,-0.030700121780178287,0.15856556342072872,-0.04143842383084136,-0.04142025193459584,-0.039237293895979915,
gyro_attr_y,0.06883309873083278,-0.012247747795612109,0.03754298169613127,-0.030700121780178287,1.0,-0.2175002170423231,-0.0037393703007337206,0.01567788042279294,-0.003892931444903821,
gyro_attr_z,0.04539534021799573,0.005735332478450469,-0.1248992055449831,0.15856556342072872,-0.2175002170423231,1.0,-0.07441058806637271,-0.11505145216558617,0.002669938067094209,
mag_attr_x,-0.0815826057684653,0.039356514858487124,-0.00560240609826087,-0.04143842383084136,-0.0037393703007337206,-0.07441058806637271,1.0,0.6388824325357161,0.19499881885519063,
mag_attr_y,-0.06103795533188467,-0.011470831782556314,-0.014620869309066878,-0.04142025193459584,0.01567788042279294,-0.11505145216558617,0.6388824325357161,1.0,0.0077305612272809835,
mag_attr_z,0.03323353491634725,0.017277258217403984,0.01169186424093168,-0.039237293895979915,-0.003892931444903821,0.002669938067094209,0.19499881885519063,0.0077305612272809835,1.0,
label,,,,,,,,,,
