,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,0.273735000440427,-0.20895434081103698,-0.018783918083215397,0.03147688089453003,0.07208821422731793,-0.5882905317218065,-0.43259165597597893,0.1353640726576607,0.02382038902444661
acc_attr_y,0.273735000440427,1.0,-0.390720675193417,0.09030973719123878,0.0037013813936297977,0.059817244010494416,-0.2737949983812433,-0.5934907844180916,0.25901690443064335,0.169714833606271
acc_attr_z,-0.20895434081103698,-0.390720675193417,1.0,-0.07711952257759502,0.014894626823512187,0.010607007023593289,0.16046715841735354,0.5183068562518423,-0.6799053015271197,-0.02653795846579038
gyro_attr_x,-0.018783918083215397,0.09030973719123878,-0.07711952257759502,1.0,0.09031255443598761,0.14578821056544272,-0.0019030710116248024,-0.008051023595927518,-0.0019227017574302253,0.009583383807396229
gyro_attr_y,0.03147688089453003,0.0037013813936297977,0.014894626823512187,0.09031255443598761,1.0,-0.2801114358222482,-0.017427508751860464,-0.0021059829700629537,0.0020048272154344474,0.019351293019045552
gyro_attr_z,0.07208821422731793,0.059817244010494416,0.010607007023593289,0.14578821056544272,-0.2801114358222482,1.0,-0.009418974472032573,-0.02309202536574729,0.010905703514804426,0.012410814465043746
mag_attr_x,-0.5882905317218065,-0.2737949983812433,0.16046715841735354,-0.0019030710116248024,-0.017427508751860464,-0.009418974472032573,1.0,0.40858552579070195,-0.12303181859022441,-0.03481952026789701
mag_attr_y,-0.43259165597597893,-0.5934907844180916,0.5183068562518423,-0.008051023595927518,-0.0021059829700629537,-0.02309202536574729,0.40858552579070195,1.0,-0.4093103257683912,-0.18485262124975363
mag_attr_z,0.1353640726576607,0.25901690443064335,-0.6799053015271197,-0.0019227017574302253,0.0020048272154344474,0.010905703514804426,-0.12303181859022441,-0.4093103257683912,1.0,0.030216253023548134
label,0.02382038902444661,0.169714833606271,-0.02653795846579038,0.009583383807396229,0.019351293019045552,0.012410814465043746,-0.03481952026789701,-0.18485262124975363,0.030216253023548134,1.0
