,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_attr_x,-0.06128386980793091,-19.60911,19.607914,0.050278235,4.830053316366303,-78.81443080380073,-0.46038840407797377,4.082932631211305,23.33312746444897,4.83043760589545
acc_attr_y,6.986190200552859,-19.608511,19.608511,7.803302,8.073095003610666,1.1555790454963268,0.024053021913836552,-0.8794752183267263,113.98159552517137,10.67621634874319
acc_attr_z,-1.7386325452006006,-19.608511,19.608511,-0.93732995,4.38162331650447,-2.5201548933382734,-1.3365946009640233,5.235921115531838,22.221430392365,4.713961220922909
gyro_attr_x,0.051612373909332064,-9.96806,10.113073,0.017064389,1.024485040294444,19.84960122342302,0.5265464107086754,7.7063641206478195,1.0522314874755176,1.0257833530894902
gyro_attr_y,0.03488517554913291,-10.034285,10.016132,0.026054733,1.7305267796960853,49.6063658117122,-0.07238177649951341,3.0073249207238355,2.995934354079155,1.7308767587783813
gyro_attr_z,0.025355063196079143,-10.0354,10.011218,0.0016997997,0.979000727603809,38.6116461249917,-0.13286672975138805,8.028582499375608,0.9590835255106818,0.9793280990100722
mag_attr_x,4.074013858556993,-50.309,47.023,3.794,15.410847961507635,3.782718590693779,0.1774657037642991,0.022670705102459277,254.09138314735088,15.940244137005898
mag_attr_y,-37.536538153243825,-67.738,37.602,-40.283,11.12316892893459,-0.2963291096137844,2.627915583595946,8.277022079801924,1532.7163539828757,39.149921506726876
mag_attr_z,7.328172613160895,-52.937,115.074,11.154,17.732817732051963,2.4198144159711847,-0.2289882944356194,-1.1015344247825043,368.15435510650434,19.187348829541417
label,4.0,4.0,4.0,4.0,0.0,0.0,,,16.0,4.0
