,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_attr_x,0.0001863914848270027,-8.184706011721998,15.276702643278696,0.00044147475689062013,0.13602185871563133,729.7643389765288,6.77592944334968,789.8224369930492,0.018501939082273943,0.1360218331087842
acc_attr_y,-0.0004280476032113264,-7.786871471816972,8.11199153451141,-0.0004157235076566031,0.13358220342050667,-312.07324236448846,-1.4552818139719077,302.8717766751398,0.0178443480701724,0.13358273866848366
acc_attr_z,9.715187958346176,3.2559155090593657,16.521718846964486,9.714276246348055,0.19480919140635689,0.02005202495737606,0.48155671517700815,48.011530594144716,94.42282760150086,9.71714091703423
gyro_attr_x,0.004021828506087243,-1.6165088,1.7198911,0.0020185225,0.08803828733604595,21.890114708470414,0.0713627200516012,9.12410771181486,0.0077668976695096995,0.08813000436576467
gyro_attr_y,0.0481763945686968,-2.8982103,4.3105707,0.045549303,0.16796273752242064,3.486411530504121,-0.726861855257125,23.003595883435192,0.030532382594001508,0.17473517846730666
gyro_attr_z,0.004280200467432302,-2.3158567,1.3733844,0.0096277455,0.08136927453715753,19.010622319279143,-0.8000951727348045,32.1841075136461,0.006639264029464372,0.08148167910312337
mag_attr_x,2.933354678803536,-39.526,33.251,-1.702,14.183032896505136,4.835089666787293,0.010599326235515648,-0.35067012999259495,209.76253835412209,14.48318122354761
mag_attr_y,-39.85823819281481,-53.094,-22.625,-40.617,5.49835887966722,-0.13794786545930174,0.8088309823808905,0.15833984997488182,1618.911034054476,40.2356935326642
mag_attr_z,2.9909567748029233,-32.775,37.809,3.926,13.489480162271393,4.510088636489983,-0.3513874013451335,-0.7029494870871944,190.91148728047125,13.817072312196649
label,6.0,6.0,6.0,6.0,0.0,0.0,,,36.0,6.0
